epoch,train_loss,dev_auc,lr
1,1.0702,0.6858,0.000100
2,1.0467,0.7029,0.000100
3,1.0398,0.7029,0.000098
4,1.0336,0.7068,0.000096
5,1.0266,0.7069,0.000094
6,1.0198,0.7093,0.000090
7,1.0087,0.7106,0.000086
8,1.0035,0.7098,0.000082
9,0.9922,0.7085,0.000077
10,0.9836,0.7138,0.000071
11,0.9699,0.7103,0.000065
12,0.9585,0.7067,0.000059
13,0.9441,0.7138,0.000053
14,0.9271,0.7003,0.000047
15,0.9052,0.7074,0.000041
16,0.8825,0.6907,0.000035
17,0.8580,0.6934,0.000029
18,0.8350,0.6899,0.000023
19,0.8134,0.6912,0.000018
